Priority,SN,ISSUE,Module,QA Status,DEV Status,Remark
P1,1,Import does not update quantities for existing SKUs in the same requisition list,Requisition List / Import,Open,Open,"After exporting a requisition list, editing the QTY values, and importing the same file back into the same requisition list, the system skips the SKUs as duplicates instead of updating their quantities. The message shown is: “No new items imported. 2 duplicate(s) skipped.” This prevents bulk quantity updates through the import feature."
P1,2,Repeated Add to Cart clicks during slow response create duplicate cart lines for the same SKU (see screenshot),Mini Cart / Homepage Add to Cart,Open,Open,"When the user clicks Add to Cart multiple times before the first action finishes, the same product and same size can be added as separate line items in the mini cart instead of merging into one line with updated quantity. If the user waits for the page response and then adds again, the cart behaves normally. This indicates weak handling of repeated clicks during loading."
P1,3,Edit item modal on checkout page sets product price to $0.00 when size is changed (see screenshot),Checkout Page / Edit Item Modal,Open,Open,"On the checkout page, when the user opens the edit item modal and changes the product size option, the displayed price becomes $0.00 for both size selections. This is incorrect behavior and creates a serious pricing inconsistency during cart editing."
P1,4,Call For Availability item can still be added to cart through wishlist (see screenshot),Wishlist / Cart Validation,Open,Open,"On the product listing page, items marked Call For Availability cannot be added directly to the cart, which is expected. However, the same item can still be added to the wishlist, and from the wishlist page the user is able to add it to the cart successfully. This bypasses the intended purchase restriction and allows unavailable items to appear in the cart and checkout flow."
P1,5,Call For Availability item can be added to cart through bulk action in requisition list (see screenshot),Requisition List / Cart Validation,Open,Open,"The requisition list correctly blocks direct Add to Cart for Call For Availability items at the individual row level, but the same restriction is not enforced during bulk Add to Cart. Users can therefore add unavailable items to the cart through the bulk action, which is a validation gap."
P1,6,Delivery date field flickers on checkout shipping step and then disappears,Checkout / Shipping Address,Open,Open,"On the Shipping Address step, a calendar/date selection field briefly appears and then disappears. Since the page text says the user can select a different delivery date using the calendar above, the missing field creates inconsistent behavior and makes the checkout step unclear."
P2,7,Quantity input value changes on mouse scroll when cursor is focused in the field,Homepage / Product Carousel,Open,Open,
P2,8,Requisition list quantity change is not saved after refresh,Order Guide / Requisition List,Open,Open,"In the Order Guide/Requisition List, the item quantity can be changed in the visible input field and the updated value is correctly used when Add to Cart is clicked. However, the changed quantity is not saved to the requisition list itself. After page refresh or revisiting the page, the original quantity is shown again. This is confusing because the interface allows quantity editing but does not provide a clear way to persist the updated value."
P2,9,No visible option to add more than one address,Address Book,Open,Open,"The Address Book page shows the default shipping address, but there is no clear option to add a new address entry. This limits account flexibility and is inconvenient for users who need to manage multiple delivery addresses."
P2,10,Full page reload occurs after clicking Add to Cart instead of updating cart dynamically,Homepage / Add to Cart,Open,Open,"After clicking Add to Cart, the entire page reloads even though only the cart state needs to be updated. This is not the expected behavior, as the cart should update dynamically without interrupting the user’s browsing flow."
P2,11,Size selector options render incorrectly and show duplicate values intermittently (see screenshot),Product Listing / Silvert Exclusives,Open,Open,"On the Silvert Exclusives product listing page, some product cards intermittently display duplicate size options, such as CASE/PC repeating or CASE/CASE appearing together. The issue may disappear after refresh, but it creates inconsistent UI behavior and may also affect other product listing pages."
P2,12,Edit item page does not prefill the current cart quantity,Cart / Edit Item,Open,Open,"When the user clicks Edit from the cart, the product edit page opens, but the quantity field is blank instead of showing the quantity currently in the cart. The current quantity should be prefilled to support proper item editing."
P2,13,Cart quantity field is misleading because changes are not applied until Update Shopping Cart is clicked,Shopping Cart / Checkout Page,Open,Open,"On the Shopping Cart / Checkout page, users can type directly into the quantity field, but the new value is not applied unless they also click Update Shopping Cart. This is not clearly indicated near the input, so users may assume the quantity has already been updated when it has not."
P2,14,Product listing re-renders and flickers when filter options are selected before Apply is clicked,Product Listing / Filters,Open,Open,"On category and brand filters, selecting or unselecting a filter option causes the product grid to visually re-render or flicker even before the user clicks Apply. Since the filter is not actually applied until the Apply button is pressed, this intermediate re-render creates unnecessary visual disturbance and makes the interface feel unstable."
P2,15,Header/navbar layout breaks on checkout shipping page,Checkout / Shipping Address,Open,Open,"On the checkout shipping page, the header/navbar layout appears broken and misaligned compared with the normal site header. This creates an unstable visual experience and makes the checkout page look inconsistent with the rest of the site."
P2,16,Tooltip content is cropped and not fully visible in mobile view,Product Listing / Mobile View,Open,Open,"In mobile view, some tooltip text extends outside the visible screen area and gets cropped, making the full message unreadable. This reduces content clarity and creates a broken tooltip experience on smaller screens."
P3,17,Wishlist quantity change requires separate Update Wishlist action and is not immediately clear,Wishlist,Open,Open,"In the wishlist flow, the entered quantity is not applied immediately and requires the user to click Update Wishlist separately. Since this is not clearly indicated near the quantity field or action, users may assume the quantity was already saved. The behavior may be functional, but the flow could be improved to make quantity saving more obvious."
P3,18,Wishlist action redirects user away from browsing page,Wishlist,Open,Open,Clicking the wishlist icon redirects the user to the wishlist page instead of keeping them on the current page with a success confirmation. This interrupts product browsing and makes the save-for-later flow less efficient.
P3,19,Product quantity input is cleared after item is added instead of remaining in the field,Homepage / Product Listing,Open,Open,"On the homepage product listing, after entering a quantity and adding the item, the quantity input field is cleared. This is not the expected behavior, as the entered value should remain in the field for a smoother quick-ordering experience."
P3,20,Long brand names overlap in the Brand filter section (see screenshot),PLP / Filter Sidebar,Open,Open,"In the left-side Brand filter, long brand names are not wrapped or truncated properly and overlap with the item count. This causes visual inconsistency and reduces readability in the filter panel."
P3,21,Welcome/help text is not fully visible on mobile,Header / Mobile Responsive,Open,Open,"On mobile view, the top header text (“Hi! Milan Hasmukhbhai Patel - Let us know if you need help with your order.”) is not fully visible within the available width. This causes content truncation and reduces readability in the mobile header."
P3,22,Size selector has visual overflow and appears clipped in mobile view (see screenshot),Product Listing / Mobile View,Open,Open,"In mobile view, the size option section on product cards does not render cleanly and appears visually clipped, making it look like part of the control is cut off. This creates an unclear and unstable UI presentation on smaller screens."
P3,23,System notifications stack excessively without limit,Global Notification / Message Handling,Open,Open,"Repeated success and error messages are allowed to stack excessively without grouping, deduplication, or a visible limit. This causes the page to become cluttered and makes the main content harder to use. The notification system should limit repeated messages or replace duplicate alerts instead of continuously stacking them."
P3,24,Top cart pagination has insufficient spacing below the navbar (see screenshot),Shopping Cart / Pagination,Open,Open,"On the Shopping Cart page, the top pagination appears too close to the navbar with insufficient vertical spacing. This makes the layout feel cramped and reduces visual separation between the header and cart content."
P2,25,Wishlist removal behavior is inconsistent when item is added to cart from different pages,Wishlist / Add to Cart Flow,Open,Open,"When an item already saved in the wishlist is added to cart from the wishlist page, it is removed from the wishlist. However, when the same item is added to cart from another page, it remains in the wishlist. The system should follow one consistent rule for wishlist removal after Add to Cart across all flows."
P3,26,Search does not provide real-time suggestions while typing,Search / Discovery,Open,Open,"The search flow only works after the user enters a query and presses Enter, which then redirects to the results page. While this is functional, the experience could be improved by adding debounced search suggestions or autocomplete so users can discover products faster and with less friction."
P2,27,Search query with multiple words is not handled correctly and returns results only for partial term,Search / Discovery,Open,Open,"When searching for “MEAT & POULTRY”, the search results page shows results only for “MEAT” instead of treating the full query properly. This suggests the search is only partially processing the entered term, which can reduce result accuracy and make category-based search less reliable."
P2,28,Search does not return expected results for exact product name or pack-size terms (see screenshot),Search / Discovery,Open,Open,A product named “High Choice Beef Filet Steak 20 x 8oz” could not be found when searching its full product name. Searching the pack-size term “20 x 8oz” also returned no results. This makes product discovery unreliable because exact-name and pack-size searches should return the matching item.
P2,29,Search results page does not reset or refresh when the search query is cleared,Search / Discovery,Open,Open,"On the search results page, if the user removes the text from the search bar, the page does not reset the results or return to an unfiltered product view. Since no search term remains, the page should either show all products again or clearly update to a neutral default state."
P2,30,Clicking Apply Filters on search results page opens the product behind the filter popup (see screenshot),Search Results / Filters,Open,Open,"On the search results page, after selecting a filter and clicking Apply, the click can also trigger the product card behind the filter popup and open the product detail page. The Apply action should only apply the selected filters. This appears to be a click-handling or overlay/layering issue specific to the search-results filter flow."